id,name,state,min_x,min_y,max_x,max_y
72,Norderwöhrden,Schleswig-Holstein,8.797325629,54.08029047,9.208975955,54.30155217
73,Nordhastedt,Schleswig-Holstein,8.974811327,54.03545605,9.399403422,54.28281369
74,Ostrohe,Schleswig-Holstein,8.952600093,54.11300094,9.31954646,54.33328293
75,Stelle-Wittenwurth,Schleswig-Holstein,8.879380289,54.14680257,9.248712851,54.36957277
76,Wöhrden,Schleswig-Holstein,8.792895542,54.04591901,9.211747887,54.27258292
77,Weddingstedt,Schleswig-Holstein,8.89470196,54.11972063,9.278418732,54.36006639
78,Wesseln,Schleswig-Holstein,8.895216362,54.11332607,9.247914546,54.31631772
79,Albersdorf,Schleswig-Holstein,9.09094974,54.02082487,9.465783839,54.24989516
80,Arkebek,Schleswig-Holstein,9.076452322,54.05540406,9.435814982,54.26625882
81,Bargenstedt,Schleswig-Holstein,8.956159967,53.9915574,9.358350595,54.20131024
82,Barlt,Schleswig-Holstein,8.809525835,53.9067418,9.271456423,54.13096731
83,Bunsoh,Schleswig-Holstein,9.12034463,54.05532353,9.543651821,54.26494225
84,Busenwurth,Schleswig-Holstein,8.825899031,53.93775151,9.236331991,54.14030708
85,Elpersbüttel,Schleswig-Holstein,8.800603988,53.94907343,9.245472656,54.18317767
86,Epenwöhrden,Schleswig-Holstein,8.883808065,54.01116299,9.295609568,54.22798091
87,Gudendorf,Schleswig-Holstein,8.926301107,53.92195218,9.308473921,54.13015119
88,Immenstedt,Schleswig-Holstein,9.135707632,54.07790831,9.466039749,54.27978726
89,Krumstedt,Schleswig-Holstein,8.975209701,53.96589377,9.410835037,54.18409345
90,Meldorf,Schleswig-Holstein,8.788600775,53.98185967,9.296572677,54.22199569
91,Nindorf,Schleswig-Holstein,8.943927729,53.97442667,9.316971094,54.19912756
92,Odderade,Schleswig-Holstein,9.000036271,54.03729342,9.381380174,54.24767256
93,Offenbüttel,Schleswig-Holstein,9.187207244,54.06532075,9.59468398,54.27434744
94,Osterrade,Schleswig-Holstein,9.157347524,54.08274539,9.593316679,54.29647603
95,Sarzbüttel,Schleswig-Holstein,8.976913016,54.01318702,9.376336511,54.22593132
96,Schafstedt,Schleswig-Holstein,9.095603033,53.95274229,9.467294599,54.2027712
97,Schrum,Schleswig-Holstein,9.085183365,54.08228943,9.44454089,54.27937166
98,Wennbüttel,Schleswig-Holstein,9.148433374,54.03913464,9.509586261,54.241982
99,Windbergen,Schleswig-Holstein,8.932065696,53.93182618,9.320950878,54.15599047
100,Wolmersdorf,Schleswig-Holstein,8.931219032,53.96859964,9.285362498,54.17491271
101,Nordermeldorf,Schleswig-Holstein,8.779193528,54.0032521,9.215910133,54.24087418
102,Tensbüttel-Röst,Schleswig-Holstein,9.041022096,53.99717583,9.430602686,54.24011348
103,Büsum,Schleswig-Holstein,8.672349395,54.02985008,9.044970356,54.24434397
104,Büsumer Deichhausen,Schleswig-Holstein,8.723985091,54.04092064,9.064894978,54.23963318
105,Friedrichsgabekoog,Schleswig-Holstein,8.768045926,54.0457921,9.131567376,54.26360332
106,Hedwigenkoog,Schleswig-Holstein,8.655362891,54.07142607,9.042156514,54.29516762
107,Hellschen-Heringsand-Unterschaar,Schleswig-Holstein,8.665527489,54.09253746,9.042936914,54.30624205
108,Hillgroven,Schleswig-Holstein,8.693454793,54.12153163,9.048876326,54.32592437
109,Norddeich,Schleswig-Holstein,8.716355159,54.11630072,9.079260162,54.33456925
110,Oesterdeichstrich,Schleswig-Holstein,8.728850536,54.05835987,9.074441785,54.26275582
111,Reinsbüttel,Schleswig-Holstein,8.73136125,54.07192701,9.085653239,54.28025926
112,Schülp,Schleswig-Holstein,8.750023674,54.13996846,9.114173891,54.35524847
113,Strübbel,Schleswig-Holstein,8.783654679,54.16292455,9.157601232,54.35835803
114,Süderdeich,Schleswig-Holstein,8.721574944,54.09655354,9.091851213,54.30139887
115,Warwerort,Schleswig-Holstein,8.751102894,54.03396585,9.105795261,54.25159358
116,Wesselburen,Schleswig-Holstein,8.757377368,54.10905249,9.10064419,54.31994099
117,Wesselburener Deichhausen,Schleswig-Holstein,8.773035013,54.07479452,9.115381862,54.28798261
118,Wesselburenerkoog,Schleswig-Holstein,8.678758259,54.1239725,9.084240861,54.37704762
119,Westerdeichstrich,Schleswig-Holstein,8.664156043,54.05466973,9.04287643,54.26348783
120,Oesterwurth,Schleswig-Holstein,8.780550491,54.09733006,9.166763016,54.32368083
121,Geesthacht,Schleswig-Holstein,10.15743154,53.30869617,10.61676884,53.55069044
122,Lauenburg/Elbe,Schleswig-Holstein,10.36656803,53.26995374,10.74221701,53.48268969
123,Mölln,Schleswig-Holstein,10.49597363,53.48537524,10.90595778,53.74422448
124,Ratzeburg,Schleswig-Holstein,10.57531554,53.58065321,10.97812164,53.87083841
125,Schwarzenbek,Schleswig-Holstein,10.29538527,53.39293487,10.66312985,53.60892587
126,Wentorf bei Hamburg,Schleswig-Holstein,10.08432118,53.38998765,10.4368685,53.59878418
127,Behlendorf,Schleswig-Holstein,10.47868099,53.58846945,10.84179438,53.81350785
128,Berkenthin,Schleswig-Holstein,10.46222561,53.62514863,10.83361552,53.84346144
129,Bliestorf,Schleswig-Holstein,10.40170722,53.66517788,10.78382564,53.88448158
130,Düchelsdorf,Schleswig-Holstein,10.40834302,53.63461536,10.74446711,53.83446546
131,Göldenitz,Schleswig-Holstein,10.44655436,53.61864253,10.7970822,53.82379183
132,Kastorf,Schleswig-Holstein,10.38937966,53.63814147,10.73798603,53.85236713
133,Klempau,Schleswig-Holstein,10.48835699,53.66231577,10.85351807,53.87642255
134,Krummesse,Schleswig-Holstein,10.48210887,53.68085437,10.82123356,53.88973527
135,Niendorf bei Berkenthin,Schleswig-Holstein,10.44940568,53.60222641,10.79635457,53.80482304
136,Rondeshagen,Schleswig-Holstein,10.43620543,53.64724891,10.80101618,53.85900323
137,Sierksrade,Schleswig-Holstein,10.42985777,53.6260493,10.77020059,53.83911459
138,Alt-Mölln,Schleswig-Holstein,10.4894063,53.51286879,10.8253663,53.73882685
139,Bälau,Schleswig-Holstein,10.43009733,53.51958888,10.79442749,53.71986128
140,Borstorf,Schleswig-Holstein,10.37147138,53.50434745,10.73260813,53.71618778
141,Breitenfelde,Schleswig-Holstein,10.41582242,53.49506817,10.81756688,53.70489337
142,Grambek,Schleswig-Holstein,10.51538867,53.45312711,10.87445637,53.68024052
143,Hornbek,Schleswig-Holstein,10.47870529,53.4521761,10.83104872,53.65630934
144,Lehmrade,Schleswig-Holstein,10.5587291,53.4723676,10.91600958,53.69559175
145,Niendorf/Stecknitz,Schleswig-Holstein,10.41985713,53.48032082,10.78126503,53.69350264
146,Schretstaken,Schleswig-Holstein,10.35365334,53.48588862,10.72720114,53.69457482
147,Talkau,Schleswig-Holstein,10.3978974,53.46900705,10.74074879,53.67625017
148,Woltersdorf,Schleswig-Holstein,10.47719802,53.46818997,10.82764171,53.6774459
149,Besenthal,Schleswig-Holstein,10.53786324,53.42376,10.91162673,53.66333456
150,Bröthen,Schleswig-Holstein,10.48400717,53.3664562,10.85365725,53.5822469
151,Büchen,Schleswig-Holstein,10.4264951,53.37577543,10.8301501,53.59307533
152,Fitzen,Schleswig-Holstein,10.47375466,53.40249624,10.83080423,53.60951631
153,Göttin,Schleswig-Holstein,10.53386037,53.43103619,10.8755099,53.63614062
154,Gudow,Schleswig-Holstein,10.58378622,53.41909996,10.9823107,53.69447821
155,Güster,Schleswig-Holstein,10.50318011,53.42637615,10.84317565,53.64289763
156,Klein Pampau,Schleswig-Holstein,10.41349595,53.41030412,10.75481501,53.61378484
157,Langenlehsten,Schleswig-Holstein,10.52434816,53.36526935,10.93541044,53.60929594
158,Müssen,Schleswig-Holstein,10.35308461,53.39135885,10.73244799,53.60520389
159,Roseburg,Schleswig-Holstein,10.412982,53.42802715,10.80886318,53.64397855
160,Schulendorf,Schleswig-Holstein,10.35733485,53.37092212,10.74761229,53.58064835
161,Siebeneichen,Schleswig-Holstein,10.44890351,53.40791696,10.78039898,53.61395293
162,Tramm,Schleswig-Holstein,10.43463335,53.45661302,10.78297642,53.6658297
163,Witzeeze,Schleswig-Holstein,10.40805285,53.35466152,10.78702337,53.56078227
164,Aumühle,Schleswig-Holstein,10.14965756,53.42189144,10.52882261,53.64015536
165,Börnsen,Schleswig-Holstein,10.09868697,53.36573936,10.45706809,53.58584913
166,Dassendorf,Schleswig-Holstein,10.1925146,53.39074884,10.54994154,53.59792383
167,Escheburg,Schleswig-Holstein,10.14099632,53.35300067,10.49694199,53.57121879
168,Hamwarde,Schleswig-Holstein,10.25050524,53.34374515,10.59918609,53.55683353
169,Hohenhorn,Schleswig-Holstein,10.19893788,53.36841191,10.54542276,53.57630062
170,Kröppelshagen-Fahrendorf,Schleswig-Holstein,10.14830778,53.36856934,10.50822297,53.58739155
171,Wiershop,Schleswig-Holstein,10.27665454,53.3370199,10.6193517,53.54329745
172,Wohltorf,Schleswig-Holstein,10.11773136,53.40984058,10.46443723,53.61688393
173,Worth,Schleswig-Holstein,10.2419114,53.36516402,10.58729286,53.57505849
174,Basedow,Schleswig-Holstein,10.41103873,53.30777272,10.75214768,53.53539444
175,Buchhorst,Schleswig-Holstein,10.40309855,53.28699796,10.73624321,53.49703135
176,Dalldorf,Schleswig-Holstein,10.44213997,53.32728803,10.77971005,53.53845718
177,Juliusburg,Schleswig-Holstein,10.34444811,53.3105932,10.68472398,53.52501289
178,Krüzen,Schleswig-Holstein,10.3600157,53.30029477,10.70862229,53.51744185
179,Krukow,Schleswig-Holstein,10.29664869,53.30849578,10.65145468,53.52339088
180,Lanze,Schleswig-Holstein,10.43274949,53.27169526,10.77152297,53.50847767
181,Lütau,Schleswig-Holstein,10.35890789,53.31609707,10.73765325,53.5390944
182,Schnakenbek,Schleswig-Holstein,10.28022024,53.28154497,10.67595989,53.50034985
183,Wangelau,Schleswig-Holstein,10.36064058,53.35216724,10.72578797,53.55330222
184,Albsfelde,Schleswig-Holstein,10.5286073,53.57951688,10.86822143,53.78259623
185,Bäk,Schleswig-Holstein,10.62517443,53.61405063,10.95802737,53.83257835
186,Brunsmark,Schleswig-Holstein,10.56234116,53.51171279,10.90995587,53.71357093
187,Buchholz,Schleswig-Holstein,10.56862253,53.63065327,10.90066137,53.83073152
188,Einhaus,Schleswig-Holstein,10.55138949,53.6195976,10.89222436,53.81982317
189,Fredeburg,Schleswig-Holstein,10.5510401,53.54261017,10.90788474,53.77066721
190,Giesensdorf,Schleswig-Holstein,10.54460692,53.58577427,10.87875667,53.78921412
191,Groß Disnack,Schleswig-Holstein,10.51660705,53.6298854,10.85940231,53.84536822
192,Groß Grönau,Schleswig-Holstein,10.56649044,53.70328356,10.9202323,53.91648451
193,Groß Sarau,Schleswig-Holstein,10.53025126,53.65473668,10.92502372,53.88939428
194,Harmsdorf,Schleswig-Holstein,10.55391519,53.60423518,10.88546511,53.81096443
195,Hollenbek,Schleswig-Holstein,10.65255252,53.4824475,10.99834776,53.69364989
196,Horst,Schleswig-Holstein,10.59292673,53.50543994,10.95048081,53.7346016
197,Kittlitz,Schleswig-Holstein,10.72127474,53.53766845,11.10593699,53.78900154
198,Klein Zecher,Schleswig-Holstein,10.68908465,53.47481092,11.06049103,53.68472073
199,Kulpin,Schleswig-Holstein,10.51511233,53.60204882,10.86465928,53.81248611
200,Mechow,Schleswig-Holstein,10.63618629,53.6125153,10.98160576,53.82721214
201,Mustin,Schleswig-Holstein,10.69739748,53.57395382,11.06767056,53.79552796
202,Pogeez,Schleswig-Holstein,10.54693283,53.63445875,10.88797525,53.84877375
203,Römnitz,Schleswig-Holstein,10.60685931,53.6163448,10.94349144,53.83928553
204,Salem,Schleswig-Holstein,10.63073947,53.53158853,11.08635331,53.76995872
205,Schmilau,Schleswig-Holstein,10.58848149,53.54942115,10.94881098,53.76969648
206,Seedorf,Schleswig-Holstein,10.68029225,53.48273593,11.07818161,53.72896918
207,Sterley,Schleswig-Holstein,10.62429569,53.50807105,11.01878605,53.75131213
208,Ziethen,Schleswig-Holstein,10.65044668,53.58099358,11.02115256,53.79924366
209,Basthorst,Schleswig-Holstein,10.28670905,53.46707768,10.66865437,53.68255881
210,Brunstorf,Schleswig-Holstein,10.24029919,53.37377884,10.60716346,53.61249179
211,Dahmker,Schleswig-Holstein,10.2768394,53.48501704,10.60731909,53.68266813
212,Elmenhorst,Schleswig-Holstein,10.33597881,53.43771668,10.71911145,53.65531926
213,Fuhlenhagen,Schleswig-Holstein,10.35162624,53.46889205,10.70811373,53.67873526
214,Grabau,Schleswig-Holstein,10.34096809,53.39535445,10.69322146,53.61700213
215,Groß Pampau,Schleswig-Holstein,10.39619339,53.42280009,10.73948722,53.62557201
216,Grove,Schleswig-Holstein,10.31550575,53.42599427,10.65665071,53.63522337
217,Gülzow,Schleswig-Holstein,10.30988402,53.34031197,10.67895066,53.58466434
218,Hamfelde,Schleswig-Holstein,10.26598603,53.49950563,10.62181936,53.69543665
219,Havekost,Schleswig-Holstein,10.28609212,53.43209682,10.64719997,53.64485948
220,Kankelau,Schleswig-Holstein,10.40206591,53.44540849,10.74160029,53.65248944
221,Kasseburg,Schleswig-Holstein,10.23793039,53.45644597,10.59270616,53.66687053
222,Köthel,Schleswig-Holstein,10.34385225,53.51238536,10.68180217,53.70752044
223,Kollow,Schleswig-Holstein,10.28971556,53.35699193,10.63721512,53.57608321
224,Kuddewörde,Schleswig-Holstein,10.21983328,53.4697518,10.59105253,53.68643461
225,Möhnsen,Schleswig-Holstein,10.28386152,53.45703951,10.64723886,53.66278242
226,Mühlenrade,Schleswig-Holstein,10.3179521,53.49339977,10.66579308,53.69564099
227,Sahms,Schleswig-Holstein,10.35682146,53.41352212,10.7068547,53.62990528
228,Duvensee,Schleswig-Holstein,10.38162283,53.58591786,10.7641967,53.80873519
229,Grinau,Schleswig-Holstein,10.38190677,53.67367796,10.71372213,53.87155003
230,Groß Boden,Schleswig-Holstein,10.29003899,53.65115921,10.6324393,53.84871079
231,Groß Schenkenberg,Schleswig-Holstein,10.38873393,53.6896561,10.75693043,53.9030229
232,Klinkrade,Schleswig-Holstein,10.37908541,53.61354754,10.74057285,53.82468971
233,Koberg,Schleswig-Holstein,10.34618025,53.52298671,10.70760074,53.74742885
234,Kühsen,Schleswig-Holstein,10.43866162,53.57855007,10.78739931,53.7895374
235,Labenz,Schleswig-Holstein,10.34606952,53.60159013,10.70091048,53.81555229
236,Lankau,Schleswig-Holstein,10.47887659,53.5502433,10.86333369,53.78415832
237,Linau,Schleswig-Holstein,10.28477897,53.54119316,10.65539329,53.75087808
238,Lüchow,Schleswig-Holstein,10.35303741,53.58669794,10.69640897,53.79479614
239,Nusse,Schleswig-Holstein,10.4036834,53.55546351,10.75853194,53.77541591
240,Panten,Schleswig-Holstein,10.44628489,53.53647209,10.80480047,53.76171257
241,Poggensee,Schleswig-Holstein,10.39281414,53.52970881,10.75064104,53.74119701
242,Ritzerau,Schleswig-Holstein,10.37036987,53.55973194,10.74184601,53.77652312
243,Sandesneben,Schleswig-Holstein,10.31819173,53.58706058,10.66700854,53.79711199
244,Schiphorst,Schleswig-Holstein,10.2884625,53.59544411,10.63616721,53.81840633
245,Schönberg,Schleswig-Holstein,10.25294689,53.55608931,10.61920706,53.79259846
246,Schürensöhlen,Schleswig-Holstein,10.30594324,53.66049017,10.64688999,53.85675304
247,Siebenbäumen,Schleswig-Holstein,10.34207589,53.64192708,10.70102237,53.8543684
248,Sirksfelde,Schleswig-Holstein,10.3184194,53.55267075,10.68446195,53.7686835
249,Steinhorst,Schleswig-Holstein,10.3005184,53.6072088,10.68700732,53.84678088
250,Stubben,Schleswig-Holstein,10.24574867,53.63413988,10.60772599,53.83563903
251,Walksfelde,Schleswig-Holstein,10.403383,53.52794675,10.74271535,53.72884452
252,Wentorf (Amt Sandesneben),Schleswig-Holstein,10.29746402,53.57088859,10.64198288,53.78024061
253,Sachsenwald (Forstgutsbez.),Schleswig-Holstein,10.13436273,53.39796027,10.62021924,53.66342948
254,Friedrichstadt,Schleswig-Holstein,8.9159251,54.27467875,9.271611773,54.47629348
255,Husum,Schleswig-Holstein,8.835445836,54.36860002,9.254433312,54.61077204
256,Reußenköge,Schleswig-Holstein,8.653324932,54.46581372,9.123166523,54.74511153
257,Tönning,Schleswig-Holstein,8.668112131,54.17210396,9.118004824,54.43225986
258,Sylt,Schleswig-Holstein,8.126728504,54.70425265,8.719961302,55.01964017
259,Kirchspiel Garding,Schleswig-Holstein,8.586018867,54.21284492,8.971635209,54.43958537
260,Garding,Schleswig-Holstein,8.607134124,54.23329808,8.955349356,54.42813559
261,Grothusenkoog,Schleswig-Holstein,8.582014868,54.19868301,8.923098774,54.39828341
262,Katharinenheerd,Schleswig-Holstein,8.650614903,54.22698964,9.027563006,54.4375422
263,Kotzenbüll,Schleswig-Holstein,8.715306583,54.22807156,9.077456705,54.44161673
264,Norderfriedrichskoog,Schleswig-Holstein,8.718378471,54.30047202,9.070744037,54.50722677
265,Oldenswort,Schleswig-Holstein,8.714038679,54.22620113,9.15450134,54.49305051
266,Osterhever,Schleswig-Holstein,8.545400583,54.28181467,8.962597835,54.49804618
267,Poppenbüll,Schleswig-Holstein,8.538000928,54.25139845,8.949971503,54.4673895
268,Sankt Peter-Ording,Schleswig-Holstein,8.4457061,54.18829889,8.859619279,54.4323682
269,Tating,Schleswig-Holstein,8.492982436,54.1988947,8.90316525,54.44435752
270,Tetenbüll,Schleswig-Holstein,8.62884538,54.25332617,9.058577641,54.49859219
271,Tümlauer Koog,Schleswig-Holstein,8.491943902,54.24685541,8.867818218,54.45717353
272,Vollerwiek,Schleswig-Holstein,8.616118742,54.19107907,8.981516677,54.39167722
273,Welt,Schleswig-Holstein,8.611559364,54.20159783,9.026556898,54.43578524
274,Westerhever,Schleswig-Holstein,8.495421441,54.28175152,8.885895132,54.48983165
275,Hörnum (Sylt),Schleswig-Holstein,8.12320754,54.65555862,8.457144966,54.88547962
276,Kampen (Sylt),Schleswig-Holstein,8.165871521,54.85072506,8.525631128,55.08144651
277,List auf Sylt,Schleswig-Holstein,8.1964756,54.90001637,8.618352075,55.14844434
278,Wenningstedt-Braderup (Sylt),Schleswig-Holstein,8.155086538,54.83468176,8.51738697,55.03953244
279,Ahrenviöl,Schleswig-Holstein,9.021468065,54.42748803,9.406185489,54.63691339
280,Ahrenviölfeld,Schleswig-Holstein,9.094400257,54.43006809,9.457941804,54.6358243
281,Behrendorf,Schleswig-Holstein,9.038621888,54.45100194,9.417078567,54.67639642
282,Bondelum,Schleswig-Holstein,9.102217558,54.4466873,9.465948269,54.66430467
283,Haselund,Schleswig-Holstein,8.990359669,54.49094514,9.377627847,54.70448051
284,Immenstedt,Schleswig-Holstein,8.974967628,54.42505585,9.362995836,54.65011455
285,Löwenstedt,Schleswig-Holstein,8.975083593,54.51921025,9.376053692,54.74715941
286,Norstedt,Schleswig-Holstein,8.945313535,54.48182993,9.309094679,54.70975774
287,Oster-Ohrstedt,Schleswig-Holstein,9.049957917,54.40643629,9.444601271,54.61354956
288,Schwesing,Schleswig-Holstein,8.940552188,54.39051861,9.326510341,54.60741879
289,Sollwitt,Schleswig-Holstein,9.052400312,54.48892322,9.422098853,54.71831156
290,Viöl,Schleswig-Holstein,8.94026312,54.45323017,9.36083868,54.67836577
291,Wester-Ohrstedt,Schleswig-Holstein,9.003037588,54.38780467,9.465683172,54.60737761
292,Gröde,Schleswig-Holstein,8.555447255,54.53744466,8.925726085,54.73353172
293,Hallig Hooge,Schleswig-Holstein,8.352813872,54.43763925,8.73031256,54.66926234
294,Langeneß,Schleswig-Holstein,8.376167372,54.5281448,8.866999111,54.77041033
295,Pellworm,Schleswig-Holstein,8.390884425,54.3698474,8.890438329,54.64709568
296,Alkersum,Schleswig-Holstein,8.324145778,54.60353645,8.673340731,54.83433081
297,Borgsum,Schleswig-Holstein,8.274284524,54.60310815,8.639630435,54.81173296
298,Dunsum,Schleswig-Holstein,8.250495,54.63439198,8.592267199,54.83781688
299,Midlum,Schleswig-Holstein,8.349148543,54.60735437,8.697689256,54.84573692
300,Nebel,Schleswig-Holstein,8.142148332,54.53795384,8.538192583,54.76523119
301,Nieblum,Schleswig-Holstein,8.296552764,54.59024312,8.682684833,54.79837052
302,Norddorf auf Amrum,Schleswig-Holstein,8.140852729,54.57643147,8.515468349,54.80129604
303,Oevenum,Schleswig-Holstein,8.361011373,54.60355803,8.742537985,54.84443116
304,Oldsum,Schleswig-Holstein,8.263097087,54.61650928,8.660262709,54.84222151
305,Süderende,Schleswig-Holstein,8.267445372,54.62409855,8.614282249,54.81969026
306,Utersum,Schleswig-Holstein,8.239456378,54.60520881,8.584075701,54.81998738
307,Witsum,Schleswig-Holstein,8.271688447,54.60230189,8.60839959,54.79569545
308,Wittdün auf Amrum,Schleswig-Holstein,8.183984435,54.51762683,8.556722899,54.72623786
309,Wrixum,Schleswig-Holstein,8.369443274,54.59560899,8.741382807,54.8198489
310,Wyk auf Föhr,Schleswig-Holstein,8.371192463,54.58935209,8.752106525,54.8163979
311,Achtrup,Schleswig-Holstein,8.82357215,54.68433426,9.27515588,54.90654499
312,Aventoft,Schleswig-Holstein,8.580253584,54.77893804,9.005227132,54.99556062
313,Bosbüll,Schleswig-Holstein,8.656488715,54.71688164,9.028032926,54.92059541
314,Braderup,Schleswig-Holstein,8.71203841,54.72682732,9.098929708,54.94777965
315,Bramstedtlund,Schleswig-Holstein,8.90366881,54.73107316,9.272900284,54.96365426
